marca-id;marca-descr;produto-classe;produto-ean;produto-dun;produto-conservacao;produto-descr
3;BRF - Sadia;Aves;7891515475703;;Congelado;Lasanha Bolonhesa Sadia 600g -Caixa c/6
3;BRF - Sadia;Aves;7893000005969;;Congelado;Coxa de Frango Sadia 1kg -Caixa c/12
3;BRF - Sadia;Aves;7893000005945;;Congelado;Filé de Peito de Frango sem Pele sem Osso Sadia 1kg -Caixa c/12
3;BRF - Sadia;Outros;7893000004832;;Resfriado;Mortadela Defumada Sadia 5,1Kg -Caixa c/2
3;BRF - Sadia;Lanches;7893000949355;;Congelado;Nuggets Tradicional Sadia 300g -Caixa c/16
3;BRF - Sadia;Lanches;7893000949270;;Congelado;Nuggets Crocante Sadia 300g -Caixa c/16
4;BRF - Perdigão;Outros;7891515485535;;Congelado;Mini Chicken de Queijo Perdigão 275g -Caixa c/15
4;BRF - Perdigão;Outros;7891515485528;;Congelado;Mini Chicken Tradicional Perdigão 275g -Caixa c/15
3;BRF - Sadia;Lanches;7893000949430;;Congelado;Nuggets com Queijo Sadia 300g -Caixa c/16
3;BRF - Sadia;Aves;7891515482015;;Congelado;Medalhão De Peru Sem Osso e Pele Food Service Sadia 2Kg -Caixa c/4
3;BRF - Sadia;Aves;7891515475680;;Congelado;Lasanha Quatro Queijos Sadia 600g -Caixa c/6
